Date,FUND_TOTAL_ASSETS,FUND_NET_ASSET_VAL,TURNOVER,FUND_FLOW,TOT_RETURN_INDEX_GROSS_DVDS,FundTicker,SectorSheet
2015-10-30,,,,,,NANR,Energy
2015-11-30,,,,,,NANR,Energy
2015-12-31,690.8478,25.0554,682331500,674.9935,25.133,NANR,Energy
2016-01-29,666.6469,23.8559,32350220,14.04,23.8328,NANR,Energy
2016-02-29,765.3719,26.628,24544720,9.5584,26.6832,NANR,Energy
2016-03-31,733.0206,29.1676,113693600,-92.1308,29.1435,NANR,Energy
2016-04-29,869.8408,34.2457,36653510,-0.3745,34.2541,NANR,Energy
2016-05-31,796.2744,32.5748,45916410,-30.5444,32.5539,NANR,Energy
2016-06-30,838.9061,34.0459,23859930,0,34.3467,NANR,Energy
2016-07-29,829.0419,35.0303,41830510,-14.1324,35.3088,NANR,Energy
2016-08-31,816.7211,33.459,18997100,5.2204,33.7522,NANR,Energy
2016-09-30,823.8783,34.049,22333280,3.3956,34.4372,NANR,Energy
2016-10-31,825.8636,33.2944,18773690,8.233,33.5809,NANR,Energy
2016-11-30,861.9174,34.7024,24570220,6.8167,34.9209,NANR,Energy
2016-12-30,848.5934,33.4766,65158630,6.2402,35.1835,NANR,Energy
2017-01-31,875.3004,34.7378,20484960,8.6233,36.5496,NANR,Energy
2017-02-28,853.1286,33.3906,22224230,10.2753,35.0784,NANR,Energy
2017-03-31,886.473,33.2013,46841860,37.7992,35.0311,NANR,Energy
2017-04-28,882.1976,32.5534,25774380,13.3128,34.2272,NANR,Energy
2017-05-31,900.5178,31.7084,49138210,41.5004,33.355,NANR,Energy
2017-06-30,909.6836,30.9943,41742860,29.6129,32.781,NANR,Energy
2017-07-31,976.7068,32.6658,25372260,17.2308,34.5899,NANR,Energy
2017-08-31,979.077,32.6359,17449230,3.2337,34.5899,NANR,Energy
2017-09-29,1016.76,33.6676,16266410,6.65,35.6688,NANR,Energy
2017-10-31,1020.3375,33.5637,20214260,6.7961,35.5313,NANR,Energy
2017-11-30,1038.226,33.8736,17055330,8.572,35.7852,NANR,Energy
2017-12-29,1095.2258,35.4442,25594650,8.4731,38.0052,NANR,Energy
2018-01-31,1131.7199,36.6252,26183960,0.0288,39.2871,NANR,Energy
2018-02-28,678.844,33.4406,386126900,-356.6989,35.7867,NANR,Energy
2018-03-30,679.7239,33.5666,19703100,-1.6532,36.001,NANR,Energy
2018-04-30,712.074,35.1641,17396390,0,37.6837,NANR,Energy
2018-05-31,725.0376,36.1548,29713480,-7.7226,38.7448,NANR,Energy
2018-06-29,732.0944,36.4226,13190430,1.7889,39.2461,NANR,Energy
2018-07-31,712.141,36.0506,13638800,0,38.7934,NANR,Energy
2018-08-31,690.0266,33.6598,26197810,14.0259,36.2718,NANR,Energy
2018-09-28,721.4542,34.2784,28537850,11.591,36.9718,NANR,Energy
2018-10-31,671.6526,31.289,18303810,1.6176,33.6626,NANR,Energy
2018-11-30,676.8898,31.3221,12491560,3.1355,33.8135,NANR,Energy
2018-12-31,613.0854,29.0562,24087360,3.1001,31.6335,NANR,Energy
2019-01-31,677.1959,31.7085,15073870,4.5487,34.636,NANR,Energy
2019-02-28,689.8684,32.0772,12343960,5.0203,34.9846,NANR,Energy
2019-03-29,710.45,32.5966,16195100,8.108,35.574,NANR,Energy
2019-04-30,682.7023,32.2182,18498080,0,35.2029,NANR,Energy
2019-05-31,649.1517,29.4678,19557370,5.2969,32.1574,NANR,Energy
2019-06-28,715.7906,32.5962,12041120,4.7423,35.8461,NANR,Energy
2019-07-31,708.8764,32.0791,28480230,9.7287,35.3172,NANR,Energy
2019-08-30,713.8325,31.3428,29243900,14.6267,34.5348,NANR,Energy
2019-09-30,703.7748,31.3685,11625800,3.1972,34.5985,NANR,Energy
2019-10-31,732.4262,31.0488,31625590,11.3508,34.1712,NANR,Energy
2019-11-29,728.7928,31.4407,14278520,-2.3651,34.7331,NANR,Energy
2019-12-31,786.6005,33.7235,23310910,5.0249,37.633,NANR,Energy
2020-01-31,722.2409,31.2863,22274710,-6.7177,34.8872,NANR,Energy
2020-02-28,526.8999,28.2405,191679100,-157.5894,31.2908,NANR,Energy
2020-03-31,418.1342,21.889,114528900,33.8217,24.3823,NANR,Energy
2020-04-30,511.0176,28.3429,38614770,-24.9062,31.6211,NANR,Energy
2020-05-29,520.2446,28.4446,24204400,-9.2081,31.7674,NANR,Energy
2020-06-30,497.4652,29.0869,24477890,-26.1228,32.82,NANR,Energy
2020-07-31,514.7229,30.3668,16327680,-8.1791,34.1844,NANR,Energy
2020-08-31,469.9941,30.9518,58462010,-56.5197,34.9193,NANR,Energy
2020-09-30,410.6107,28.4951,24909690,-17.2105,32.2204,NANR,Energy
2020-10-30,402.1627,27.8991,25419180,-17.5841,31.4255,NANR,Energy
2020-11-30,446.6756,32.3621,13915980,-8.6996,36.5219,NANR,Energy
2020-12-31,437.1272,33.1785,23926100,-17.4759,38.0187,NANR,Energy
2021-01-29,439.9142,33.2085,23559020,-6.3486,38.0302,NANR,Energy
2021-02-26,468.5249,36.8886,31993040,-18.8887,42.2647,NANR,Energy
2021-03-31,487.9238,38.4885,47668620,-4.7667,44.1697,NANR,Energy
2021-04-30,650.9286,40.3479,177033200,132.4433,46.3297,NANR,Energy
2021-05-31,555.08,43.4675,170567200,-133.1999,49.8845,NANR,Energy
2021-06-30,520.503,41.653,30426730,-5.7694,48.2132,NANR,Energy
2021-07-30,496.2621,40.3723,21620240,-2.0973,46.7916,NANR,Energy
2021-08-31,473.1334,38.9223,17008550,-5.8509,45.084,NANR,Energy
2021-09-30,475.3158,39.8454,27053090,-18.8795,46.1618,NANR,Energy
2021-10-29,518.1595,43.8787,17946960,-3.125,50.8441,NANR,Energy
2021-11-30,480.4207,42.4036,15949830,-8.9371,49.2265,NANR,Energy
2021-12-31,506.3905,43.9713,13780140,0.2318,51.8705,NANR,Energy
2022-01-31,554.6947,47.243,38862880,-2.1652,55.7599,NANR,Energy
2022-02-28,515.0602,52.3547,133318200,-87.1724,62.1008,NANR,Energy
2022-03-31,622.9264,57.9442,133997400,50.1346,68.3828,NANR,Energy
2022-04-29,607.5424,55.9702,103100500,17.9709,65.8842,NANR,Energy
2022-05-31,678.0459,59.2053,94524240,35.8556,69.8561,NANR,Energy
2022-06-30,651.4524,49.221,185427300,101.5245,58.5092,NANR,Energy
2022-07-29,561.8032,50.6089,140394600,-87.7132,60.1378,NANR,Energy
