Date,FUND_TOTAL_ASSETS,FUND_NET_ASSET_VAL,TURNOVER,FUND_FLOW,TOT_RETURN_INDEX_GROSS_DVDS,FundTicker,SectorSheet
2015-10-30,,68.83,200040900,,56,BION,Health Care
2015-11-30,,73.45,141393500,,59.15,BION,Health Care
2015-12-31,,71.43,152693000,,58.45,BION,Health Care
2016-01-29,,51.84,255926000,,47.26,BION,Health Care
2016-02-29,,48.84,265639700,,46.32,BION,Health Care
2016-03-31,,46.9,260687000,,48.71,BION,Health Care
2016-04-29,,49.5,140733000,,54.61,BION,Health Care
2016-05-31,,51.85,92591180,,52.38,BION,Health Care
2016-06-30,,47.55,121883400,,47.39,BION,Health Care
2016-07-29,,53.4,86010880,,51.58,BION,Health Care
2016-08-31,,52.65,94430440,,51.69,BION,Health Care
2016-09-30,,54.65,86573930,,53.02,BION,Health Care
2016-10-31,,47.35,108646600,,49.83,BION,Health Care
2016-11-30,,56.95,218412300,,57.96,BION,Health Care
2016-12-30,,54.2,126390800,,58.54,BION,Health Care
2017-01-31,,56.45,132952800,,57,BION,Health Care
2017-02-28,,62.1,113754600,,62.42,BION,Health Care
2017-03-31,,58.25,279308000,,62.93,BION,Health Care
2017-04-28,,59.45,101488300,,62.87,BION,Health Care
2017-05-31,,55.1,135461100,,60.42,BION,Health Care
2017-06-30,,60.1,153242400,,65.55,BION,Health Care
2017-07-31,,62.7,133104600,,67.05,BION,Health Care
2017-08-31,,66.2,137239800,,69.56,BION,Health Care
2017-09-29,,66.7,120787900,,72.57,BION,Health Care
2017-10-31,,64.75,189891400,,71.06,BION,Health Care
2017-11-30,,63.35,149622400,,73.8,BION,Health Care
2017-12-29,,63.9,102306600,,71.96,BION,Health Care
2018-01-31,,66.4,169530500,,78.87,BION,Health Care
2018-02-28,,65.65,207260900,,77.31,BION,Health Care
2018-03-30,,61.1,146043500,,78.19,BION,Health Care
2018-04-30,,59.75,126331500,,78.42,BION,Health Care
2018-05-31,,59.9,92375140,,76.38,BION,Health Care
2018-06-29,,59.4,109272300,,77.9,BION,Health Care
2018-07-31,,61,102839900,,79.36,BION,Health Care
2018-08-31,,63.6,80335830,,78.66,BION,Health Care
2018-09-28,,63.65,335763000,,83.97,BION,Health Care
2018-10-31,,56.2,265707300,,73.93,BION,Health Care
2018-11-30,,59.4,118866300,,74.98,BION,Health Care
2018-12-31,,52.05,113117300,,68.21,BION,Health Care
2019-01-31,,61.05,150239700,,79.13,BION,Health Care
2019-02-28,,66.2,101867800,,82.05,BION,Health Care
2019-03-29,,65.1,133529500,,84.7,BION,Health Care
2019-04-30,,63,118221100,,85.8,BION,Health Care
2019-05-31,,57.45,102249500,,81.16,BION,Health Care
2019-06-28,,59,86036630,,80.61,BION,Health Care
2019-07-31,,57.25,99936800,,79.76,BION,Health Care
2019-08-30,,56.2,108805400,,77.13,BION,Health Care
2019-09-30,,52.15,91922130,,75.06,BION,Health Care
2019-10-31,,53.5,127661500,,74.88,BION,Health Care
2019-11-29,,64.35,131026200,,84.34,BION,Health Care
2019-12-31,,61.25,259058300,,80.86,BION,Health Care
2020-01-31,,56.7,156924000,,78.42,BION,Health Care
2020-02-28,,55.5,145770000,,72.07,BION,Health Care
2020-03-31,,44.15,281656100,,68.2,BION,Health Care
2020-04-30,,55.15,125306400,,79.06,BION,Health Care
2020-05-29,,63.05,171474400,,88.17,BION,Health Care
2020-06-30,,65.45,136011700,,90.06,BION,Health Care
2020-07-31,,59.15,129389600,,85.83,BION,Health Care
2020-08-31,,59.15,90701680,,88.82,BION,Health Care
2020-09-30,,58.3,94008310,,87,BION,Health Care
2020-10-30,,58.15,121367700,,77.83,BION,Health Care
2020-11-30,,68.6,89550000,,89.8,BION,Health Care
2020-12-31,,70.3,122496800,,96.5,BION,Health Care
2021-01-29,,76.75,153128000,,105.09,BION,Health Care
2021-02-26,,75.85,207827600,,109.84,BION,Health Care
2021-03-31,,70.75,182595500,,111.39,BION,Health Care
2021-04-30,,71,118183600,,115.39,BION,Health Care
2021-05-31,,66.6,103687100,,109.16,BION,Health Care
2021-06-30,4047,73.05,111893900,,117.9,BION,Health Care
2021-07-30,4047,70.7,80283540,,118.17,BION,Health Care
2021-08-31,4047,72.9,92097490,,120.2,BION,Health Care
2021-09-30,4047,69.25,91240440,,114.04,BION,Health Care
2021-10-29,4047,66.2,87561860,,109.5,BION,Health Care
2021-11-30,4047,61,123605100,,106.58,BION,Health Care
2021-12-31,4047,59.4,113998300,,104.55,BION,Health Care
2022-01-31,4047,50.9,164673600,,91.88,BION,Health Care
2022-02-28,4047,50,115063200,,86.46,BION,Health Care
2022-03-31,4047,50.1,176007100,,92.78,BION,Health Care
2022-04-29,4047,45.15,80626220,,84.46,BION,Health Care
2022-05-31,4047,42.25,76093020,,81.88,BION,Health Care
2022-06-30,4047,45.8,71572530,,81.17,BION,Health Care
2022-07-29,4047,47.55,52478160,,82.03,BION,Health Care
2022-08-31,4047,50.55,78127970,,81.31,BION,Health Care
2022-09-30,4047,49.6,116625900,,75.57,BION,Health Care
