Date,FUND_TOTAL_ASSETS,FUND_NET_ASSET_VAL,TURNOVER,FUND_FLOW,TOT_RETURN_INDEX_GROSS_DVDS,FundTicker,SectorSheet
2015-10-31,,,,,,488200,Industries
2015-11-30,,,,,,488200,Industries
2015-12-31,,,,,,488200,Industries
2016-01-30,,,,,,488200,Industries
2016-02-29,,,,,,488200,Industries
2016-03-31,,,,,,488200,Industries
2016-04-30,,,,,,488200,Industries
2016-05-31,,,,,,488200,Industries
2016-06-30,,,,,,488200,Industries
2016-07-30,,,,,,488200,Industries
2016-08-31,,,,,,488200,Industries
2016-09-30,,,,,,488200,Industries
2016-10-31,,,,,,488200,Industries
2016-11-30,,,,,,488200,Industries
2016-12-31,,,,,,488200,Industries
2017-01-31,,,,,,488200,Industries
2017-02-28,,,,,,488200,Industries
2017-03-31,,,,,,488200,Industries
2017-04-29,,,,,,488200,Industries
2017-05-31,,,,,,488200,Industries
2017-06-30,,,,,,488200,Industries
2017-07-31,,,,,,488200,Industries
2017-08-31,,,,,,488200,Industries
2017-09-30,,,,,,488200,Industries
2017-10-31,,,,,,488200,Industries
2017-11-30,,,,,,488200,Industries
2017-12-30,,,,,,488200,Industries
2018-01-31,,,,,,488200,Industries
2018-02-28,,,,,,488200,Industries
2018-03-31,,,,,,488200,Industries
2018-04-30,,,,,,488200,Industries
2018-05-31,,,,,,488200,Industries
2018-06-30,,,,,,488200,Industries
2018-07-31,,,,,,488200,Industries
2018-08-31,,,,,,488200,Industries
2018-09-29,,,,,,488200,Industries
2018-10-31,,,,,,488200,Industries
2018-11-30,,,,,,488200,Industries
2018-12-31,,,,,,488200,Industries
2019-01-31,,,,,,488200,Industries
2019-02-28,,,,,,488200,Industries
2019-03-30,,,,,,488200,Industries
2019-04-30,,,,,,488200,Industries
2019-05-31,,,,,,488200,Industries
2019-06-29,,,,,,488200,Industries
2019-07-31,,,,,,488200,Industries
2019-08-31,,,,,,488200,Industries
2019-09-30,,,,,,488200,Industries
2019-10-31,,,,,,488200,Industries
2019-11-30,,,,,,488200,Industries
2019-12-31,,,,,,488200,Industries
2020-01-31,,,,,,488200,Industries
2020-02-29,,,,,,488200,Industries
2020-03-31,,,,,,488200,Industries
2020-04-30,,,,,,488200,Industries
2020-05-30,,,,,,488200,Industries
2020-06-30,,,,,,488200,Industries
2020-07-31,,,,,,488200,Industries
2020-08-31,,,,,,488200,Industries
2020-09-30,,,,,,488200,Industries
2020-10-31,,,,,,488200,Industries
2020-11-30,,,,,,488200,Industries
2020-12-31,,,,,,488200,Industries
2021-01-30,,,,,,488200,Industries
2021-02-27,,,,,,488200,Industries
2021-03-31,,,,,,488200,Industries
2021-04-30,,,,,,488200,Industries
2021-05-31,,,,,,488200,Industries
2021-06-30,,,,,,488200,Industries
2021-07-31,,,,,,488200,Industries
2021-08-31,,,,,,488200,Industries
2021-09-30,,,,,,488200,Industries
2021-10-30,,,,,,488200,Industries
2021-11-30,,,,,,488200,Industries
2021-12-31,,,,,,488200,Industries
2022-01-31,,,,,,488200,Industries
2022-02-28,,,,,,488200,Industries
2022-03-31,,,,,,488200,Industries
2022-04-30,,,,,,488200,Industries
2022-05-31,,,,,,488200,Industries
2022-06-30,,,,,,488200,Industries
2022-07-30,,,,,,488200,Industries
2022-08-31,,,,,,488200,Industries
2022-09-30,,,,,,488200,Industries
2022-10-31,,,,,,488200,Industries
2022-11-30,,,,,,488200,Industries
2022-12-31,,,,,,488200,Industries
2023-01-31,,,,,,488200,Industries
2023-02-28,,,,,,488200,Industries
2023-03-31,,,,,,488200,Industries
2023-04-29,,,,,,488200,Industries
