Date,FUND_TOTAL_ASSETS,FUND_NET_ASSET_VAL,TURNOVER,FUND_FLOW,TOT_RETURN_INDEX_GROSS_DVDS,FundTicker,SectorSheet
2015-10-31,,,,,,MFANGETF,Technology
2015-11-30,,,,,,MFANGETF,Technology
2015-12-31,,,,,,MFANGETF,Technology
2016-01-31,,,,,,MFANGETF,Technology
2016-02-29,,,,,,MFANGETF,Technology
2016-03-31,,,,,,MFANGETF,Technology
2016-04-30,,,,,,MFANGETF,Technology
2016-05-31,,,,,,MFANGETF,Technology
2016-06-30,,,,,,MFANGETF,Technology
2016-07-31,,,,,,MFANGETF,Technology
2016-08-31,,,,,,MFANGETF,Technology
2016-09-30,,,,,,MFANGETF,Technology
2016-10-31,,,,,,MFANGETF,Technology
2016-11-30,,,,,,MFANGETF,Technology
2016-12-31,,,,,,MFANGETF,Technology
2017-01-31,,,,,,MFANGETF,Technology
2017-02-28,,,,,,MFANGETF,Technology
2017-03-31,,,,,,MFANGETF,Technology
2017-04-30,,,,,,MFANGETF,Technology
2017-05-31,,,,,,MFANGETF,Technology
2017-06-30,,,,,,MFANGETF,Technology
2017-07-31,,,,,,MFANGETF,Technology
2017-08-31,,,,,,MFANGETF,Technology
2017-09-30,,,,,,MFANGETF,Technology
2017-10-31,,,,,,MFANGETF,Technology
2017-11-30,,,,,,MFANGETF,Technology
2017-12-31,,,,,,MFANGETF,Technology
2018-01-31,,,,,,MFANGETF,Technology
2018-02-28,,,,,,MFANGETF,Technology
2018-03-31,,,,,,MFANGETF,Technology
2018-04-30,,,,,,MFANGETF,Technology
2018-05-31,,,,,,MFANGETF,Technology
2018-06-30,,,,,,MFANGETF,Technology
2018-07-31,,,,,,MFANGETF,Technology
2018-08-31,,,,,,MFANGETF,Technology
2018-09-30,,,,,,MFANGETF,Technology
2018-10-31,,,,,,MFANGETF,Technology
2018-11-30,,,,,,MFANGETF,Technology
2018-12-31,,,,,,MFANGETF,Technology
2019-01-31,,,,,,MFANGETF,Technology
2019-02-28,,,,,,MFANGETF,Technology
2019-03-31,,,,,,MFANGETF,Technology
2019-04-30,,,,,,MFANGETF,Technology
2019-05-31,,,,,,MFANGETF,Technology
2019-06-30,,,,,,MFANGETF,Technology
2019-07-31,,,,,,MFANGETF,Technology
2019-08-31,,,,,,MFANGETF,Technology
2019-09-30,,,,,,MFANGETF,Technology
2019-10-31,,,,,,MFANGETF,Technology
2019-11-30,,,,,,MFANGETF,Technology
2019-12-31,,,,,,MFANGETF,Technology
2020-01-31,,,,,,MFANGETF,Technology
2020-02-29,,,,,,MFANGETF,Technology
2020-03-31,,,,,,MFANGETF,Technology
2020-04-30,,,,,,MFANGETF,Technology
2020-05-31,,,,,,MFANGETF,Technology
2020-06-30,,,,,,MFANGETF,Technology
2020-07-31,,,,,,MFANGETF,Technology
2020-08-31,,,,,,MFANGETF,Technology
2020-09-30,,,,,,MFANGETF,Technology
2020-10-31,,,,,,MFANGETF,Technology
2020-11-30,,,,,,MFANGETF,Technology
2020-12-31,,,,,,MFANGETF,Technology
2021-01-31,,,,,,MFANGETF,Technology
2021-02-28,,,,,,MFANGETF,Technology
2021-03-31,,,,,,MFANGETF,Technology
2021-04-30,,,,,,MFANGETF,Technology
2021-05-31,5380.445,48.2536,385582000,4124.5211,48.48,MFANGETF,Technology
2021-06-30,7874.786,54.2701,647458100,1718.9045,54.66,MFANGETF,Technology
2021-07-31,10226.971,53.182,547287600,2419.8245,53.41,MFANGETF,Technology
2021-08-31,11258.621,53.8939,261913300,1011.5336,53.48,MFANGETF,Technology
2021-09-30,11466.883,52.1925,307945600,583.6152,52.61,MFANGETF,Technology
2021-10-31,13007.536,57.94,294483700,258.4951,57.28,MFANGETF,Technology
2021-11-30,13597.804,57.7393,275133900,643.4263,58.62,MFANGETF,Technology
2021-12-31,13596.39,55.292,301893700,580.4722,56.26,MFANGETF,Technology
2022-01-31,13537.215,51.452,669397700,877.6677,49.09,MFANGETF,Technology
2022-02-28,12426.797,47.8499,628097000,-124.3748,47.26,MFANGETF,Technology
2022-03-31,12986.54,50.121,689758400,-40.8008,51.45,MFANGETF,Technology
2022-04-30,10711.487,40.962,707555800,101.9929,42.35,MFANGETF,Technology
2022-05-31,10825.02,40.9258,696990100,99.8579,40.72,MFANGETF,Technology
2022-06-30,10257.819,38.9878,433476100,-58.7356,39.6,MFANGETF,Technology
2022-07-31,11512.253,43.427,314582200,78.3349,43.19,MFANGETF,Technology
2022-08-31,11008.4,41.9043,442587200,-107.3003,43.25,MFANGETF,Technology
2022-09-30,10121.987,38.239,521994300,82.0425,39.13,MFANGETF,Technology
2022-10-31,9947.227,36.1318,656919800,394.1082,36.93,MFANGETF,Technology
2022-11-30,11151.929,39.842,1206689000,156.686,37.85,MFANGETF,Technology
2022-12-31,10358.722,36.7463,1108148000,74.554,37.8,MFANGETF,Technology
2023-01-31,12102.568,43.0538,1336332000,-60.844,41.86,MFANGETF,Technology
2023-02-28,12287.951,45.1591,1204896000,-424.4064,44.74,MFANGETF,Technology
2023-03-31,13317.034,50.6922,969228000,-517.782,49.5,MFANGETF,Technology
2023-04-30,13008.251,49.822,497304800,-8.4484,49.14,MFANGETF,Technology
2023-05-31,14797.541,58.977,1190810000,-552.1758,59.07,MFANGETF,Technology
2023-06-30,15830.72,63.1956,1082097000,-70.7952,61.95,MFANGETF,Technology
2023-07-31,16429.087,65.7417,881251500,9.3109,65.71,MFANGETF,Technology
2023-08-31,16194.582,64.3911,800238900,103.8142,63.8,MFANGETF,Technology
